City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Port Hedland,AU,7/12/2020 20:25,-20.32,118.57,57.2,24,0,6.93
237,Shubarshi,KZ,7/12/2020 20:25,48.59,57.19,86.68,31,58,6.08
238,Akdepe,TM,7/12/2020 20:25,42.06,59.38,82.4,39,5,6.93
239,Catuday,PH,7/12/2020 20:25,16.29,119.81,82.69,77,100,7.49
240,Namatanai,PG,7/12/2020 20:25,-3.67,152.43,76.64,90,100,10.09
241,Port Elizabeth,ZA,7/12/2020 20:23,-33.92,25.57,55.4,66,0,5.82
242,Otuzco,PE,7/12/2020 20:25,-7.9,-78.58,57.87,72,66,7.36
243,Antofagasta,CL,7/12/2020 20:24,-23.65,-70.4,59,67,75,12.75
244,Kasongo-Lunda,CD,7/12/2020 20:25,-6.47,16.82,77.76,53,36,1.3
245,Guerrero Negro,MX,7/12/2020 20:25,27.98,-114.06,86.34,30,0,16.82
246,Rocha,UY,7/12/2020 20:24,-34.48,-54.33,47.64,61,45,8.57
247,Vernon,CA,7/12/2020 20:23,50.26,-119.27,69.8,37,1,12.75
248,Hailar,CN,7/12/2020 20:25,49.2,119.7,62.42,85,96,4.72
249,Sitka,US,7/12/2020 20:23,57.05,-135.33,57.2,82,75,4.7
250,Bobrov,RU,7/12/2020 20:25,51.1,40.03,65.19,83,8,5.95
251,Flinders,AU,7/12/2020 20:26,-34.58,150.86,48,89,100,1.01
252,Kaabong,UG,7/12/2020 20:26,3.48,34.15,64.09,80,46,1.72
253,Haapiti,PF,7/12/2020 20:26,-17.57,-149.87,82.4,61,40,6.93
254,Vostok,RU,7/12/2020 20:26,46.49,135.88,56.53,97,90,2.01
255,Kirakira,SB,7/12/2020 20:25,-10.45,161.92,79.16,84,66,14
256,Bubaque,GW,7/12/2020 20:26,11.28,-15.83,79.02,86,100,15.99
257,Faya,SA,7/12/2020 20:26,18.39,42.45,77,23,8,9.82
258,Purna,IN,7/12/2020 20:26,19.18,77.05,82,71,95,9.89
259,Kuah,MY,7/12/2020 20:26,6.33,99.84,78.8,94,20,9.98
260,Bambous Virieux,MU,7/12/2020 20:23,-20.34,57.76,72,73,20,14.99
261,Chama,CH,7/12/2020 20:26,47.18,8.46,66.2,55,0,3.36
262,Ilulissat,GL,7/12/2020 20:26,69.22,-51.1,48.2,70,42,5.82
263,Huarmey,PE,7/12/2020 20:24,-10.07,-78.15,67.78,66,13,9.33
264,Agua Dulce,MX,7/12/2020 20:26,18.13,-94.13,87.8,74,40,11.41
